x	y
0	-48.0000
1	-50.0000
2	-40.0000
3	-48.0000
4	-48.0000
5	-48.0000
6	-48.0000
7	-46.0000
8	-52.0000
9	-50.0000
10	-50.0000
11	-52.0000
12	-52.0000
13	-54.0000
14	-50.0000
15	-50.0000
16	-48.0000
17	-50.0000
18	-50.0000
19	-46.0000
20	-46.0000
21	-50.0000
22	-48.0000
23	-48.0000
24	-46.0000
25	-50.0000
26	-48.0000
27	-48.0000
28	-48.0000
29	-48.0000
30	-46.0000
31	-56.0000
32	-46.0000
33	-50.0000
34	-54.0000
35	-48.0000
36	-52.0000
37	-48.0000
38	-50.0000
39	-50.0000
40	-52.0000
41	-48.0000
42	-50.0000
43	-52.0000
44	-50.0000
45	-46.0000
46	-50.0000
47	-52.0000
48	-48.0000
49	-50.0000
50	-50.0000
51	-50.0000
52	-48.0000
53	-50.0000
54	-48.0000
55	-50.0000
56	-52.0000
57	-52.0000
58	-46.0000
59	-56.0000
60	-46.0000
61	-48.0000
62	-46.0000
63	-50.0000
64	-50.0000
65	-50.0000
66	-52.0000
67	-46.0000
68	-50.0000
69	-50.0000
70	-50.0000
71	-50.0000
72	-48.0000
73	-48.0000
74	-48.0000
75	-50.0000
76	-48.0000
77	-50.0000
78	-50.0000
79	-54.0000
80	-48.0000
81	-52.0000
82	-48.0000
83	-46.0000
84	-46.0000
85	-42.0000
86	-44.0000
87	-48.0000
88	-48.0000
89	-50.0000
90	-48.0000
91	-48.0000
92	-52.0000
93	-50.0000
94	-48.0000
95	-46.0000
96	-50.0000
97	-48.0000
98	-46.0000
99	-52.0000
100	-50.0000
101	-46.0000
102	-48.0000
103	-44.0000
104	-50.0000
105	-46.0000
106	-46.0000
107	-50.0000
108	-46.0000
109	-52.0000
110	-50.0000
111	-48.0000
112	-42.0000
113	-48.0000
114	-52.0000
115	-50.0000
116	-50.0000
117	-44.0000
118	-52.0000
119	-46.0000
120	-52.0000
121	-48.0000
122	-50.0000
123	-50.0000
124	-50.0000
125	-50.0000
126	-46.0000
127	-52.0000
128	-54.0000
129	-48.0000
130	-46.0000
131	-48.0000
132	-50.0000
133	-46.0000
134	-48.0000
135	-50.0000
136	-54.0000
137	-48.0000
138	-48.0000
139	-52.0000
140	-54.0000
141	-50.0000
142	-50.0000
143	-50.0000
144	-48.0000
145	-54.0000
146	-46.0000
147	-48.0000
148	-48.0000
149	-48.0000
150	-52.0000
151	-50.0000
152	-50.0000
153	-52.0000
154	-50.0000
155	-48.0000
156	-50.0000
157	-48.0000
158	-48.0000
159	-52.0000
160	-50.0000
161	-50.0000
162	-50.0000
163	-50.0000
164	-50.0000
165	-50.0000
166	-46.0000
167	-50.0000
168	-56.0000
169	-52.0000
170	-48.0000
171	-50.0000
172	-48.0000
173	-48.0000
174	-50.0000
175	-54.0000
176	-46.0000
