x	y
0	-44.0000
1	-48.0000
2	-48.0000
3	-50.0000
4	-48.0000
5	-48.0000
6	-48.0000
7	-50.0000
8	-50.0000
9	-52.0000
10	-50.0000
11	-48.0000
12	-48.0000
13	-50.0000
14	-48.0000
15	-50.0000
16	-50.0000
17	-46.0000
18	-46.0000
19	-48.0000
20	-46.0000
21	-50.0000
22	-50.0000
23	-50.0000
24	-44.0000
25	-44.0000
26	-50.0000
27	-46.0000
28	-50.0000
29	-48.0000
30	-48.0000
31	-46.0000
32	-48.0000
33	-52.0000
34	-42.0000
35	-54.0000
36	-54.0000
37	-50.0000
38	-48.0000
39	-44.0000
40	-54.0000
41	-50.0000
42	-52.0000
43	-50.0000
44	-46.0000
45	-54.0000
46	-48.0000
47	-50.0000
48	-54.0000
49	-42.0000
50	-44.0000
51	-54.0000
52	-52.0000
53	-52.0000
54	-50.0000
55	-48.0000
56	-52.0000
57	-54.0000
58	-50.0000
59	-48.0000
60	-48.0000
61	-46.0000
62	-46.0000
63	-48.0000
64	-50.0000
65	-46.0000
66	-50.0000
67	-52.0000
68	-48.0000
69	-46.0000
70	-48.0000
71	-52.0000
72	-46.0000
73	-46.0000
74	-48.0000
75	-50.0000
76	-46.0000
77	-50.0000
78	-50.0000
79	-48.0000
80	-50.0000
81	-50.0000
82	-48.0000
83	-46.0000
84	-48.0000
85	-50.0000
86	-54.0000
87	-50.0000
88	-48.0000
89	-48.0000
90	-52.0000
91	-48.0000
92	-48.0000
93	-50.0000
94	-50.0000
95	-50.0000
96	-48.0000
97	-50.0000
98	-48.0000
99	-54.0000
100	-46.0000
101	-50.0000
102	-48.0000
103	-48.0000
104	-46.0000
105	-46.0000
106	-50.0000
107	-48.0000
108	-46.0000
109	-50.0000
110	-54.0000
111	-46.0000
112	-48.0000
113	-48.0000
114	-50.0000
115	-50.0000
116	-54.0000
117	-50.0000
118	-50.0000
119	-50.0000
120	-48.0000
121	-48.0000
122	-48.0000
123	-52.0000
124	-42.0000
125	-50.0000
126	-48.0000
127	-56.0000
128	-44.0000
129	-50.0000
130	-44.0000
131	-50.0000
132	-48.0000
133	-46.0000
134	-46.0000
135	-50.0000
136	-48.0000
137	-50.0000
138	-46.0000
