x	y
0	-48.0000
1	-44.0000
2	-52.0000
3	-50.0000
4	-50.0000
5	-50.0000
6	-50.0000
7	-48.0000
8	-42.0000
9	-46.0000
10	-52.0000
11	-48.0000
12	-48.0000
13	-50.0000
14	-48.0000
15	-48.0000
16	-46.0000
17	-46.0000
18	-46.0000
19	-52.0000
20	-46.0000
21	-46.0000
22	-52.0000
23	-48.0000
24	-50.0000
25	-52.0000
26	-50.0000
27	-50.0000
28	-48.0000
29	-50.0000
30	-46.0000
31	-50.0000
32	-44.0000
33	-54.0000
34	-46.0000
35	-50.0000
36	-50.0000
37	-56.0000
38	-50.0000
39	-46.0000
40	-50.0000
41	-52.0000
42	-48.0000
43	-50.0000
44	-52.0000
45	-50.0000
46	-48.0000
47	-50.0000
48	-52.0000
49	-52.0000
50	-50.0000
51	-48.0000
52	-46.0000
53	-50.0000
54	-46.0000
55	-48.0000
56	-42.0000
57	-50.0000
58	-52.0000
59	-48.0000
60	-50.0000
61	-52.0000
62	-48.0000
63	-48.0000
64	-46.0000
65	-46.0000
66	-48.0000
67	-48.0000
68	-50.0000
69	-52.0000
70	-50.0000
71	-48.0000
72	-44.0000
73	-50.0000
74	-52.0000
75	-46.0000
76	-52.0000
77	-56.0000
78	-50.0000
79	-48.0000
80	-52.0000
81	-48.0000
82	-50.0000
83	-50.0000
84	-48.0000
85	-48.0000
86	-50.0000
87	-50.0000
88	-48.0000
89	-48.0000
90	-44.0000
91	-50.0000
92	-48.0000
93	-50.0000
94	-50.0000
95	-54.0000
96	-46.0000
97	-48.0000
98	-50.0000
99	-46.0000
100	-48.0000
101	-46.0000
102	-52.0000
103	-50.0000
104	-48.0000
105	-54.0000
106	-48.0000
107	-48.0000
108	-46.0000
109	-52.0000
110	-46.0000
111	-48.0000
112	-52.0000
113	-52.0000
114	-46.0000
115	-52.0000
116	-48.0000
117	-48.0000
118	-48.0000
119	-56.0000
120	-52.0000
121	-44.0000
122	-54.0000
123	-46.0000
124	-50.0000
125	-44.0000
126	-52.0000
127	-48.0000
128	-48.0000
129	-48.0000
130	-52.0000
131	-50.0000
132	-52.0000
133	-50.0000
134	-52.0000
135	-44.0000
136	-50.0000
137	-50.0000
138	-50.0000
139	-46.0000
140	-48.0000
141	-50.0000
142	-48.0000
143	-48.0000
144	-50.0000
145	-48.0000
146	-48.0000
147	-52.0000
148	-46.0000
149	-50.0000
150	-52.0000
151	-46.0000
152	-52.0000
153	-50.0000
154	-52.0000
155	-48.0000
156	-54.0000
157	-46.0000
158	-46.0000
159	-46.0000
160	-48.0000
161	-50.0000
162	-46.0000
163	-52.0000
164	-50.0000
165	-50.0000
166	-46.0000
167	-46.0000
168	-50.0000
169	-48.0000
170	-46.0000
171	-50.0000
172	-54.0000
173	-52.0000
174	-46.0000
175	-44.0000
176	-52.0000
177	-54.0000
178	-54.0000
179	-50.0000
180	-50.0000
181	-50.0000
182	-50.0000
183	-52.0000
184	-50.0000
185	-54.0000
186	-50.0000
187	-50.0000
188	-46.0000
189	-52.0000
190	-48.0000
191	-46.0000
192	-48.0000
193	-50.0000
194	-48.0000
