x	y
0	-48.0000
1	-46.0000
2	-46.0000
3	-48.0000
4	-50.0000
5	-50.0000
6	-46.0000
7	-48.0000
8	-46.0000
9	-48.0000
10	-52.0000
11	-48.0000
12	-48.0000
13	-50.0000
14	-44.0000
15	-48.0000
16	-46.0000
17	-46.0000
18	-50.0000
19	-42.0000
20	-50.0000
21	-50.0000
22	-44.0000
23	-48.0000
24	-46.0000
25	-46.0000
26	-50.0000
27	-50.0000
28	-52.0000
29	-46.0000
30	-52.0000
31	-50.0000
32	-48.0000
33	-52.0000
34	-52.0000
35	-44.0000
36	-44.0000
37	-54.0000
38	-52.0000
39	-46.0000
40	-46.0000
41	-44.0000
42	-50.0000
43	-48.0000
44	-50.0000
45	-50.0000
46	-46.0000
47	-46.0000
48	-46.0000
49	-50.0000
50	-46.0000
51	-48.0000
52	-46.0000
53	-52.0000
54	-48.0000
55	-52.0000
56	-54.0000
57	-50.0000
58	-52.0000
59	-52.0000
60	-50.0000
61	-48.0000
62	-48.0000
63	-52.0000
64	-54.0000
65	-50.0000
66	-46.0000
67	-52.0000
68	-50.0000
69	-52.0000
70	-54.0000
71	-44.0000
72	-46.0000
73	-48.0000
74	-50.0000
75	-48.0000
76	-52.0000
77	-48.0000
78	-46.0000
79	-52.0000
80	-50.0000
81	-50.0000
82	-46.0000
83	-50.0000
84	-54.0000
85	-50.0000
86	-50.0000
87	-48.0000
88	-52.0000
89	-52.0000
90	-46.0000
91	-48.0000
92	-56.0000
93	-46.0000
94	-54.0000
95	-48.0000
96	-48.0000
97	-52.0000
98	-52.0000
99	-46.0000
100	-50.0000
101	-48.0000
102	-48.0000
103	-48.0000
104	-44.0000
105	-48.0000
106	-48.0000
107	-48.0000
108	-52.0000
109	-48.0000
110	-48.0000
111	-48.0000
112	-48.0000
113	-54.0000
114	-46.0000
115	-42.0000
116	-52.0000
117	-52.0000
118	-50.0000
119	-48.0000
120	-54.0000
121	-48.0000
122	-50.0000
123	-46.0000
124	-48.0000
125	-50.0000
126	-48.0000
127	-50.0000
128	-52.0000
129	-48.0000
130	-50.0000
131	-48.0000
132	-50.0000
133	-48.0000
134	-50.0000
135	-50.0000
136	-46.0000
137	-52.0000
138	-54.0000
139	-48.0000
140	-44.0000
141	-48.0000
142	-48.0000
143	-48.0000
144	-50.0000
145	-50.0000
146	-46.0000
147	-48.0000
148	-50.0000
149	-50.0000
150	-46.0000
151	-44.0000
152	-46.0000
153	-50.0000
154	-48.0000
155	-46.0000
156	-50.0000
157	-48.0000
158	-52.0000
159	-48.0000
160	-52.0000
161	-50.0000
162	-54.0000
163	-44.0000
164	-50.0000
165	-52.0000
166	-50.0000
167	-46.0000
168	-48.0000
169	-44.0000
170	-46.0000
171	-50.0000
172	-48.0000
173	-50.0000
174	-48.0000
175	-48.0000
176	-50.0000
177	-50.0000
178	-48.0000
179	-50.0000
180	-50.0000
181	-50.0000
182	-46.0000
183	-46.0000
184	-48.0000
185	-48.0000
186	-48.0000
187	-50.0000
188	-50.0000
189	-42.0000
190	-48.0000
191	-50.0000
192	-50.0000
193	-56.0000
194	-50.0000
195	-48.0000
196	-52.0000
197	-50.0000
198	-54.0000
199	-48.0000
200	-46.0000
201	-50.0000
202	-48.0000
203	-48.0000
204	-56.0000
205	-48.0000
206	-46.0000
207	-50.0000
208	-46.0000
209	-50.0000
210	-46.0000
211	-48.0000
212	-54.0000
213	-50.0000
214	-50.0000
215	-46.0000
216	-52.0000
217	-52.0000
218	-48.0000
219	-46.0000
220	-50.0000
221	-50.0000
222	-52.0000
223	-50.0000
224	-50.0000
225	-52.0000
226	-52.0000
227	-50.0000
228	-48.0000
229	-46.0000
230	-48.0000
231	-48.0000
232	-46.0000
233	-46.0000
234	-48.0000
235	-50.0000
236	-48.0000
237	-48.0000
238	-50.0000
239	-50.0000
240	-48.0000
241	-52.0000
242	-46.0000
243	-44.0000
244	-52.0000
245	-50.0000
246	-48.0000
247	-50.0000
248	-54.0000
249	-46.0000
250	-54.0000
251	-48.0000
252	-50.0000
253	-50.0000
254	-48.0000
255	-50.0000
256	-50.0000
257	-46.0000
258	-48.0000
259	-48.0000
260	-46.0000
261	-48.0000
262	-48.0000
263	-44.0000
264	-46.0000
265	-50.0000
266	-52.0000
267	-48.0000
268	-46.0000
269	-52.0000
270	-48.0000
271	-48.0000
272	-50.0000
273	-46.0000
274	-46.0000
275	-46.0000
276	-48.0000
277	-48.0000
278	-48.0000
279	-46.0000
280	-46.0000
281	-48.0000
282	-50.0000
283	-48.0000
284	-48.0000
285	-48.0000
286	-50.0000
287	-52.0000
288	-50.0000
289	-48.0000
290	-52.0000
291	-46.0000
292	-46.0000
293	-52.0000
294	-48.0000
295	-54.0000
296	-54.0000
297	-48.0000
298	-52.0000
299	-50.0000
300	-48.0000
301	-48.0000
302	-44.0000
303	-50.0000
304	-54.0000
305	-48.0000
306	-46.0000
307	-50.0000
308	-48.0000
309	-46.0000
310	-46.0000
311	-50.0000
312	-54.0000
313	-52.0000
314	-48.0000
315	-46.0000
316	-50.0000
317	-50.0000
318	-50.0000
319	-50.0000
320	-50.0000
321	-50.0000
322	-50.0000
