x	y
0	-50.0000
1	-46.0000
2	-46.0000
3	-48.0000
4	-52.0000
5	-50.0000
6	-44.0000
7	-48.0000
8	-44.0000
9	-50.0000
10	-48.0000
11	-52.0000
12	-52.0000
13	-50.0000
14	-46.0000
15	-46.0000
16	-46.0000
17	-52.0000
18	-48.0000
19	-46.0000
20	-50.0000
21	-48.0000
22	-46.0000
23	-52.0000
24	-48.0000
25	-46.0000
26	-48.0000
27	-52.0000
28	-50.0000
29	-50.0000
30	-48.0000
31	-48.0000
32	-48.0000
33	-46.0000
34	-48.0000
35	-48.0000
36	-50.0000
37	-46.0000
38	-48.0000
39	-46.0000
40	-44.0000
41	-52.0000
42	-46.0000
43	-46.0000
44	-42.0000
45	-50.0000
46	-52.0000
47	-46.0000
48	-50.0000
49	-48.0000
50	-50.0000
51	-52.0000
52	-54.0000
53	-50.0000
54	-50.0000
55	-48.0000
56	-46.0000
57	-50.0000
58	-44.0000
59	-50.0000
60	-52.0000
61	-54.0000
62	-42.0000
63	-50.0000
64	-46.0000
65	-50.0000
66	-50.0000
67	-48.0000
68	-50.0000
69	-48.0000
70	-50.0000
71	-50.0000
72	-46.0000
73	-50.0000
74	-46.0000
75	-50.0000
76	-50.0000
77	-50.0000
78	-52.0000
79	-52.0000
80	-48.0000
81	-50.0000
82	-46.0000
83	-48.0000
84	-54.0000
85	-48.0000
86	-48.0000
87	-50.0000
88	-46.0000
89	-48.0000
90	-50.0000
91	-48.0000
92	-50.0000
93	-50.0000
94	-50.0000
95	-44.0000
96	-46.0000
97	-46.0000
98	-50.0000
99	-50.0000
100	-50.0000
101	-52.0000
102	-52.0000
103	-50.0000
104	-48.0000
105	-46.0000
106	-46.0000
107	-46.0000
108	-50.0000
109	-50.0000
110	-44.0000
111	-50.0000
112	-46.0000
113	-46.0000
114	-50.0000
115	-52.0000
116	-46.0000
117	-48.0000
118	-48.0000
119	-50.0000
120	-46.0000
121	-52.0000
122	-48.0000
123	-48.0000
124	-44.0000
125	-46.0000
126	-50.0000
127	-44.0000
128	-48.0000
129	-42.0000
130	-46.0000
131	-50.0000
132	-52.0000
133	-50.0000
134	-46.0000
135	-50.0000
136	-46.0000
137	-48.0000
138	-46.0000
139	-48.0000
140	-50.0000
141	-50.0000
142	-46.0000
143	-48.0000
144	-46.0000
145	-50.0000
146	-50.0000
147	-50.0000
148	-52.0000
149	-50.0000
150	-48.0000
151	-52.0000
152	-52.0000
153	-48.0000
154	-54.0000
155	-48.0000
156	-46.0000
157	-56.0000
158	-46.0000
159	-50.0000
160	-48.0000
161	-46.0000
162	-50.0000
163	-44.0000
164	-50.0000
165	-48.0000
166	-52.0000
167	-48.0000
168	-46.0000
169	-50.0000
170	-48.0000
171	-48.0000
172	-44.0000
173	-52.0000
174	-50.0000
175	-42.0000
176	-48.0000
177	-48.0000
178	-54.0000
179	-50.0000
180	-52.0000
181	-48.0000
182	-44.0000
183	-46.0000
184	-48.0000
185	-50.0000
186	-46.0000
187	-50.0000
188	-52.0000
189	-54.0000
190	-42.0000
191	-52.0000
192	-48.0000
193	-50.0000
194	-52.0000
195	-46.0000
196	-48.0000
197	-44.0000
198	-58.0000
199	-48.0000
200	-46.0000
201	-50.0000
202	-50.0000
203	-50.0000
204	-52.0000
205	-52.0000
206	-50.0000
207	-52.0000
208	-46.0000
209	-48.0000
210	-50.0000
211	-52.0000
212	-50.0000
213	-52.0000
214	-44.0000
215	-50.0000
216	-44.0000
217	-46.0000
218	-50.0000
219	-46.0000
220	-48.0000
221	-52.0000
222	-48.0000
223	-48.0000
224	-48.0000
225	-44.0000
226	-52.0000
227	-50.0000
228	-48.0000
229	-52.0000
230	-50.0000
231	-50.0000
232	-50.0000
233	-48.0000
234	-48.0000
235	-48.0000
236	-54.0000
237	-50.0000
238	-42.0000
239	-50.0000
240	-48.0000
241	-48.0000
242	-50.0000
243	-48.0000
244	-50.0000
245	-48.0000
246	-50.0000
247	-50.0000
248	-48.0000
249	-46.0000
250	-46.0000
251	-50.0000
252	-38.0000
253	-48.0000
254	-56.0000
255	-44.0000
256	-46.0000
257	-44.0000
258	-46.0000
259	-50.0000
260	-46.0000
261	-48.0000
262	-42.0000
263	-50.0000
264	-48.0000
265	-46.0000
266	-46.0000
267	-50.0000
268	-52.0000
269	-52.0000
270	-44.0000
271	-50.0000
272	-48.0000
273	-48.0000
274	-48.0000
275	-48.0000
276	-50.0000
277	-50.0000
278	-46.0000
279	-50.0000
280	-46.0000
281	-46.0000
282	-52.0000
283	-54.0000
284	-52.0000
285	-52.0000
286	-48.0000
287	-48.0000
288	-46.0000
289	-46.0000
290	-48.0000
291	-42.0000
292	-50.0000
293	-48.0000
294	-54.0000
295	-46.0000
296	-46.0000
297	-52.0000
298	-50.0000
299	-50.0000
300	-48.0000
301	-50.0000
302	-50.0000
303	-44.0000
304	-50.0000
305	-50.0000
306	-52.0000
307	-48.0000
308	-54.0000
309	-50.0000
310	-48.0000
311	-48.0000
312	-50.0000
313	-50.0000
314	-48.0000
315	-48.0000
316	-54.0000
317	-54.0000
318	-42.0000
319	-50.0000
320	-52.0000
321	-48.0000
322	-52.0000
323	-50.0000
324	-48.0000
325	-46.0000
326	-54.0000
327	-48.0000
328	-52.0000
329	-46.0000
330	-50.0000
331	-52.0000
332	-56.0000
333	-50.0000
334	-50.0000
335	-50.0000
336	-50.0000
337	-44.0000
338	-50.0000
339	-50.0000
340	-56.0000
341	-50.0000
342	-46.0000
343	-50.0000
344	-42.0000
345	-46.0000
346	-48.0000
347	-44.0000
348	-46.0000
349	-50.0000
350	-50.0000
351	-46.0000
352	-46.0000
353	-46.0000
354	-54.0000
355	-50.0000
356	-50.0000
357	-50.0000
358	-50.0000
359	-46.0000
360	-48.0000
361	-50.0000
362	-46.0000
363	-46.0000
364	-48.0000
365	-48.0000
366	-44.0000
367	-48.0000
368	-50.0000
369	-50.0000
370	-52.0000
371	-52.0000
372	-48.0000
373	-48.0000
374	-52.0000
375	-50.0000
376	-46.0000
377	-44.0000
378	-50.0000
379	-48.0000
380	-42.0000
381	-50.0000
382	-50.0000
383	-44.0000
384	-48.0000
385	-48.0000
386	-46.0000
387	-52.0000
388	-52.0000
389	-48.0000
390	-46.0000
391	-48.0000
392	-48.0000
393	-50.0000
394	-46.0000
395	-52.0000
396	-50.0000
397	-48.0000
398	-48.0000
399	-46.0000
400	-50.0000
401	-50.0000
402	-44.0000
403	-46.0000
404	-44.0000
405	-48.0000
406	-50.0000
407	-50.0000
408	-46.0000
409	-48.0000
410	-50.0000
411	-50.0000
412	-50.0000
413	-52.0000
414	-48.0000
415	-50.0000
416	-50.0000
417	-46.0000
418	-48.0000
419	-44.0000
420	-50.0000
421	-46.0000
422	-48.0000
423	-46.0000
424	-46.0000
425	-50.0000
426	-54.0000
427	-52.0000
428	-48.0000
429	-48.0000
430	-48.0000
431	-44.0000
432	-50.0000
433	-48.0000
434	-48.0000
435	-46.0000
436	-54.0000
437	-44.0000
438	-50.0000
439	-44.0000
440	-48.0000
441	-50.0000
442	-44.0000
443	-50.0000
444	-54.0000
445	-56.0000
446	-46.0000
447	-50.0000
448	-54.0000
449	-50.0000
450	-54.0000
451	-46.0000
452	-50.0000
453	-48.0000
454	-56.0000
455	-52.0000
456	-48.0000
457	-50.0000
458	-48.0000
459	-48.0000
460	-54.0000
461	-52.0000
462	-52.0000
463	-50.0000
464	-50.0000
465	-46.0000
466	-52.0000
467	-50.0000
468	-52.0000
469	-54.0000
470	-50.0000
471	-48.0000
472	-46.0000
473	-50.0000
474	-50.0000
475	-48.0000
476	-50.0000
477	-50.0000
478	-46.0000
479	-48.0000
480	-50.0000
481	-48.0000
482	-50.0000
483	-48.0000
484	-48.0000
485	-48.0000
486	-52.0000
487	-54.0000
488	-46.0000
489	-54.0000
490	-48.0000
491	-50.0000
492	-50.0000
493	-50.0000
494	-42.0000
495	-50.0000
496	-52.0000
497	-50.0000
498	-50.0000
499	-52.0000
500	-50.0000
501	-48.0000
502	-54.0000
503	-48.0000
504	-44.0000
505	-48.0000
506	-50.0000
507	-50.0000
508	-42.0000
509	-48.0000
510	-50.0000
511	-44.0000
512	-50.0000
513	-42.0000
514	-48.0000
515	-52.0000
